time,population,vision_range_mean,vision_range_var,vision_range_min,vision_range_max,vision_fov_mean,vision_fov_var,vision_fov_min,vision_fov_max,basal_rate_mean,basal_rate_var,basal_rate_min,basal_rate_max,max_energy_mean,max_energy_var,max_energy_min,max_energy_max
9.9833,100,11.8303,4.0823,8.1059,14.8274,1.6133,0.0465,1.2038,1.9914,0.9758,0.4751,0.1005,2.6976,499.8388,244393.7958,49.0919,2421.4999
19.9833,100,11.8303,4.0823,8.1059,14.8274,1.6133,0.0465,1.2038,1.9914,0.9758,0.4751,0.1005,2.6976,499.8388,244393.7958,49.0919,2421.4999
29.9833,98,11.8992,3.9259,8.1059,14.8274,1.6150,0.0473,1.2038,1.9914,0.9591,0.4702,0.1005,2.6976,508.8979,245278.0212,49.0919,2421.4999
39.9833,94,11.9487,3.9182,8.1059,14.8274,1.6212,0.0458,1.2038,1.9914,0.9476,0.4819,0.1005,2.6976,528.1402,246642.5041,50.3944,2421.4999
49.9833,89,11.9854,3.9693,8.1059,14.8274,1.6228,0.0460,1.2038,1.9914,0.9273,0.4840,0.1005,2.6976,554.0099,247890.7437,50.3944,2421.4999
59.9833,100,10.0273,0.4249,8.2680,13.4093,1.5673,0.0028,1.3609,1.8075,1.1224,0.6144,0.1628,2.9756,468.5962,131779.9505,54.9662,1674.4840
69.9833,100,10.0273,0.4249,8.2680,13.4093,1.5673,0.0028,1.3609,1.8075,1.1224,0.6144,0.1628,2.9756,468.5962,131779.9505,54.9662,1674.4840
